model,accuracy,precision,recall,f1,roc_auc
random_forest,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.96875
logistic_regression,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7604166666666666
